,height
1133,193.0
1134,183.0
1135,183.0
1136,203.0
1137,203.0
1138,183.0
1139,206.0
1140,196.0
1141,188.0
1142,198.0
1143,208.0
1144,208.0
1145,208.0
1146,190.0
1147,211.0
1148,206.0
1149,193.0
1150,201.0
1151,201.0
1152,193.0
1153,188.0
1154,193.0
1155,193.0
1156,203.0
1157,201.0
1158,218.0
1159,208.0
1160,201.0
1161,206.0
1162,206.0
1163,201.0
1164,193.0
1165,206.0
1166,188.0
1167,211.0
1168,206.0
1169,193.0
1170,206.0
1171,211.0
1172,198.0
1173,206.0
1174,190.0
1175,190.0
1176,196.0
1177,206.0
1178,198.0
1179,206.0
1180,185.0
1181,193.0
1182,208.0
1183,190.0
1184,206.0
1185,208.0
1186,201.0
1187,190.0
1188,185.0
1189,196.0
1190,211.0
1191,198.0
1192,203.0
1193,208.0
1194,208.0
1195,213.0
1196,198.0
1197,211.0
1198,203.0
1199,208.0
1200,185.0
1201,203.0
1202,193.0
1203,203.0
1204,185.0
1205,196.0
1206,190.0
1207,213.0
1208,198.0
1209,196.0
1210,188.0
1211,183.0
1212,203.0
1213,193.0
1214,193.0
1215,170.0
1216,185.0
1217,185.0
1218,193.0
1219,201.0
1220,183.0
1221,193.0
1222,211.0
1223,216.0
1224,198.0
1225,183.0
1226,183.0
1227,188.0
1228,196.0
1229,185.0
1230,190.0
1231,201.0
1232,208.0
1233,190.0
1234,188.0
1235,201.0
1236,198.0
1237,188.0
1238,188.0
1239,201.0
1240,198.0
1241,198.0
1242,173.0
1243,201.0
1244,190.0
1245,203.0
1246,201.0
1247,201.0
1248,213.0
1249,196.0
1250,201.0
1251,208.0
1252,188.0
1253,198.0
1254,183.0
1255,201.0
1256,198.0
1257,196.0
1258,203.0
1259,190.0
1260,201.0
1261,185.0
1262,201.0
1263,206.0
1264,188.0
1265,208.0
1266,203.0
1267,198.0
1268,190.0
1269,203.0
1270,203.0
1271,203.0
1272,188.0
1273,201.0
1274,206.0
1275,203.0
1276,196.0
1277,193.0
1278,216.0
1279,201.0
1280,198.0
1281,211.0
1282,185.0
1283,180.0
1284,190.0
1285,206.0
1286,190.0
1287,201.0
1288,180.0
1289,185.0
1290,198.0
1291,193.0
1292,198.0
1293,201.0
1294,196.0
1295,185.0
1296,196.0
1297,208.0
1298,211.0
1299,211.0
1300,201.0
1301,206.0
1302,198.0
1303,188.0
1304,196.0
1305,188.0
1306,208.0
1307,203.0
1308,198.0
1309,183.0
1310,198.0
1311,201.0
1312,208.0
1313,198.0
1314,201.0
1315,183.0
1316,196.0
1317,183.0
1318,201.0
1319,201.0
1320,198.0
1321,196.0
1322,190.0
1323,198.0
1324,198.0
1325,211.0
1326,198.0
1327,201.0
1328,198.0
1329,201.0
1330,201.0
1331,201.0
1332,208.0
1333,190.0
1334,201.0
1335,190.0
1336,208.0
1337,193.0
1338,196.0
1339,206.0
1340,206.0
1341,206.0
1342,203.0
1343,198.0
1344,216.0
1345,208.0
1346,198.0
